age;male;Drugs;Hospitals;Other Institutions;Other Professionals;Physicians;Total
60;False;409.1440037128211;1510.6678650509764;388.39003210976244;165.84590343542015;1238.3049470169967;3712.352751325977
60;True;366.6010957540011;2003.3763455061628;431.3317814653769;66.81998391927532;1182.9914452937178;4051.1206519385337
61;False;464.92063848742504;1622.0461342887725;428.7233756028662;182.38819496441056;1298.6444799657165;3996.722823309191
61;True;436.44675480094145;2163.9817094531713;466.2111945876349;75.41694274338519;1261.6811911684727;4403.737792753605
62;False;520.6972732620291;1733.4244035265685;469.0567190959699;198.93048649340096;1358.9840129144363;4281.092895292405
62;True;506.29241384788185;2324.58707340018;501.0906077098929;84.01390156749507;1340.3709370432275;4756.354933568678
63;False;576.473908036633;1844.8026727643646;509.3900625890737;215.47277802239137;1419.3235458631561;4565.462967275619
63;True;576.1380728948222;2485.192437347189;535.9700208321509;92.61086039160494;1419.0606829179824;5108.97207438375
64;False;632.250542811237;1956.1809420021607;549.7234060821775;232.01506955138177;1479.6630788118762;4849.833039258833
64;True;645.9837319417626;2645.7978012941976;570.8494339544089;101.20781921571482;1497.750428792737;5461.589215198821
65;False;688.027177585841;2067.5592112399568;590.0567495752812;248.55736108037217;1540.002611760596;5134.203111242047
65;True;715.8293909887029;2806.4031652412064;605.728847076667;109.8047780398247;1576.4401746674919;5814.206356013893
66;False;723.6768530409653;2247.1624823434813;706.7117624916109;252.91236264930427;1599.031592933931;5529.495053459293
66;True;753.0567994195696;3014.5185793683117;665.5299843915507;112.03466975164733;1649.123756319446;6194.263789250525
67;False;759.3265284960896;2426.7657534470054;823.3667754079406;257.26736421823637;1658.0605741072663;5924.786995676539
67;True;790.2842078504364;3222.633993495417;725.3311217064344;114.26456146346997;1721.8073379714;6574.321222487159
68;False;794.9762039512141;2606.36902455053;940.0217883242703;261.62236578716846;1717.0895552806014;6320.078937893784
68;True;827.5116162813031;3430.749407622522;785.1322590213181;116.4944531752926;1794.4909196233543;6954.378655723789
69;False;830.6258794063384;2785.9722956540545;1056.6768012406;265.97736735610056;1776.1185364539367;6715.37088011103
69;True;864.7390247121699;3638.8648217496275;844.9333963362018;118.72434488711525;1867.1745012753086;7334.436088960423
70;False;866.2755548614628;2965.5755667575786;1173.3318141569298;270.33236892503265;1835.1475176272718;7110.662822328275
